date,channel,episodeid,clip_url,starttime,endtime,starttime_seconds,endtime_seconds,Social Media Mention,Social Media Platform,CaptionError,CaptionError_Phrase,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:02,135","00:00:03,103",2.135,3.103,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:03,236","00:00:05,472",3.236,5.472,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:05,605","00:00:06,239",5.605,6.239,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:06,373","00:00:08,141",6.373,8.141,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:08,274","00:00:10,710",8.274,10.71,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:10,844","00:00:16,816",10.844,16.816,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:16,950","00:00:17,851",16.95,17.851,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:25,291","00:00:27,327",25.291,27.327,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:27,460","00:00:28,361",27.46,28.361,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:28,495","00:00:29,496",28.495,29.496,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:29,629","00:00:31,765",29.629,31.765,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:31,898","00:00:34,868",31.898,34.868,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:35,001","00:00:35,969",35.001,35.969,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:36,102","00:00:37,370",36.102,37.37,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:37,504","00:00:38,104",37.504,38.104,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:38,238","00:00:40,106",38.238,40.106,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:40,240","00:00:43,043",40.24,43.043,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:43,176","00:00:44,144",43.176,44.144,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:44,277","00:00:44,511",44.277,44.511,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:44,644","00:00:46,413",44.644,46.413,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:46,546","00:00:48,048",46.546,48.048,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:48,181","00:00:50,016",48.181,50.016,No,-,No,-,
2020-03-14,FOXNEWS,FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream,https://archive.org/details/FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream/start/0/end/60,"00:00:50,150","00:00:51,751",50.15,51.751,No,-,No,-,
