filename,time_range,Social Media Logo,Social Media Logo Type,Social Media Screenshot,Social Media Screenshot Type
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000000.jpg,000000,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000001.jpg,000001,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000002.jpg,000002,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000003.jpg,000003,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000004.jpg,000004,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000005.jpg,000005,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000006.jpg,000006,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000007.jpg,000007,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000008.jpg,000008,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000009.jpg,000009,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000010.jpg,000010,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000011.jpg,000011,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000012.jpg,000012,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000013.jpg,000013,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000014.jpg,000014,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000015.jpg,000015,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000016.jpg,000016,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000017.jpg,000017,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000018.jpg,000018,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000019.jpg,000019,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000020.jpg,000020,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000021.jpg,000021,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000022.jpg,000022,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000023.jpg,000023,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000024.jpg,000024,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000025.jpg,000025,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000026.jpg,000026,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000027.jpg,000027,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000028.jpg,000028,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000029.jpg,000029,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000030.jpg,000030,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000031.jpg,000031,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000032.jpg,000032,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000033.jpg,000033,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000034.jpg,000034,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000035.jpg,000035,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000036.jpg,000036,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000037.jpg,000037,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000038.jpg,000038,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000039.jpg,000039,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000040.jpg,000040,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000041.jpg,000041,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000042.jpg,000042,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000043.jpg,000043,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000044.jpg,000044,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000045.jpg,000045,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000046.jpg,000046,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000047.jpg,000047,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000048.jpg,000048,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000049.jpg,000049,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000050.jpg,000050,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000051.jpg,000051,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000052.jpg,000052,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000053.jpg,000053,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000054.jpg,000054,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000055.jpg,000055,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000056.jpg,000056,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000057.jpg,000057,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000058.jpg,000058,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000059.jpg,000059,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000060.jpg,000060,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000061.jpg,000061,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000062.jpg,000062,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000063.jpg,000063,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000064.jpg,000064,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000065.jpg,000065,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000066.jpg,000066,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000067.jpg,000067,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000068.jpg,000068,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000069.jpg,000069,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000070.jpg,000070,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000071.jpg,000071,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000072.jpg,000072,No,N/A,No,N/A
/CNNW_20200314_030000_CNN_Tonight_With_Don_Lemon-000073.jpg,000073,No,N/A,No,N/A
